Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 
[00:21:57.23]	     a déjà  fait plus   de 40 000 victimes.

[00:21:58.09]	

[00:21:59.26]	   Le nouveau vice-roi   des Indes est arrivé

[00:22:00.56]	  

[00:22:03.36]	    au milieu d'horribles   scè nes de mort

[00:22:04.96]	    et de destruction.

[00:22:07.49]	    Ce serait une honte   qui marquerait

[00:22:09.26]	    de façon indélébile

[00:22:11.99]	    la réputation   de la Grande-Bretagne

[00:22:13.39]	    si nous devions abandonner

[00:22:16.63]	     400 millions de primitifs   livrés à  leur triste sort.

[00:22:17.13]	

[00:22:20.89]	  

[00:22:22.13]	 - Appliquez-vous!

[00:22:26.23]	  Sortez les plats du four, les gratins sont prê ts.

[00:22:27.49]	  Vous me coupez ça bien droit!

[00:22:28.76]	  

[00:22:30.19]	  Faites des parts égales.

[00:22:32.13]	  Elles doivent toutes ê tre de la mê me taille.

[00:22:33.23]	  - C'est inhabituel.

[00:22:35.16]	  Le personnel ne va pas comprendre.

[00:22:37.26]	  - Moi, je veux qu'ils sachent à  qui ils ont affaire.

[00:22:38.19]	

[00:22:40.43]	  

[00:22:43.66]	 - Attention, lady Mountbatten.

[00:22:47.16]	  Laisse-les passer.

[00:22:48.96]	  - Par là , votre excellence.

[00:22:49.69]	

[00:22:51.63]	 (langue étrangè re)

[00:22:51.86]	  

[00:22:55.43]	  - Sortez-moi ces poulets du four!

[00:22:56.56]	  - Notre chef cuisinier anglais

[00:22:58.16]	  est parti précipitamment avec lord Wavell.

[00:22:59.73]	  Nous attendons son remplaçant qui arrive d'Angleterre.

[00:23:00.93]	

[00:23:02.09]	 Pour le moment, permettez-moi

[00:23:03.53]	  

[00:23:06.09]	  de vous présenter le chef cuisinier suppléant.

[00:23:07.09]	  Ram Lal Chandra.

[00:23:09.06]	

[00:23:11.13]	 Il a été formé à  la plus haute gastronomie européenne

[00:23:11.29]	  

[00:23:15.19]	  et sera en mesure de satisfaire à  vos exigences.

[00:23:18.33]	  - Je pense que nous devons éviter au nouveau chef anglais

[00:23:20.86]	  de faire le voyage.

[00:23:24.03]	  M. Chandra fera un excellent travail.

[00:23:25.43]	

[00:23:26.66]	 Ce merveilleux dî ner que vous avez servi hier soir

[00:23:28.03]	  

[00:23:30.46]	  ne peut rien envier au Claridge.

[00:23:32.53]	  - Lady Sahib,

[00:23:35.73]	  vos compliments vont aussi à  toute mon équipe

[00:23:37.23]	  et à  mon second, Jinnah Abdul Malik.

[00:23:39.56]	

[00:23:41.29]	 Il prépare un excellent agneau Wellington

[00:23:42.56]	  

[00:23:45.36]	  et un délicieux pouding à  la confiture d'orange.

[00:23:47.56]	  - Bien sû r. Tout cela me semble parfait,

[00:23:50.36]	  mais avec votre accord, monsieur Chandra,

[00:23:53.16]	  j'aimerais faire quelques changements.

[00:23:55.13]	  Dorénavant, il y aura plus d'Indiens

[00:23:58.16]	  de toute confession autour de notre table.

[00:24:00.99]	  Et nous servirons ce qu'ils aiment.

[00:24:04.99]	  - La plupart d'entre eux mangent avec leurs doigts,

[00:24:05.76]	  

[00:24:07.73]	  votre excellence.

[00:24:10.86]	  - Si cela est une coutume, c'est parfaitement acceptable.

[00:24:11.76]	  - Madame.

[00:24:14.69]	  Beaucoup d'Indiens sont végétariens.

[00:24:16.49]	  Pas de mouton, pas de poulet, pas de gibier.

[00:24:18.56]	  (langue étrangè re)

[00:24:21.36]	

[00:24:22.26]	 - Qu'est-ce qui chagrine ce monsieur?

[00:24:25.79]	  - M. Malik disait...

[00:24:27.96]	  Votre excellence...

[00:24:29.43]	  

[00:24:30.43]	

[00:24:31.63]	 Qu'il vous est reconnaissant

[00:24:32.26]	  

[00:24:35.76]	  de vouloir introduire la diversification au palais.

[00:24:37.69]	  Nous attendions ce moment depuis trè s longtemps.

[00:24:40.36]	  - Je vous remercie de votre compréhension

[00:24:41.03]	  

[00:24:42.83]	  et de vos talents.

[00:24:45.09]	

[00:24:47.73]	 Je dois aller retrouver les femmes des gouverneurs.

[00:24:51.09]	  - Tu crois donner un bon exemple, Jinnah Abdul?

[00:24:52.46]	  (en choeur): Yéti!

[00:24:54.96]	  - Z comme?

[00:24:56.36]	  (en choeur): Zè bre!

[00:24:57.96]	  - J'aimerais tellement communiquer avec eux.

[00:24:59.19]	  - Essayez de dire ceci.

[00:25:00.96]	  (langue étrangè re)

[00:25:02.99]	  (Elle répè te.)

[00:25:04.63]	  

[00:25:05.86]	  (rires)

[00:25:08.73]	  - Avant vous, aucun vice-roi ni aucun membre de sa famille

[00:25:09.63]	  

[00:25:11.69]	  n'était jamais venu dans le quartier des employés.

[00:25:14.53]	  - Les maisons semblent petites pour toute une famille.

[00:25:15.53]	

[00:25:16.26]	 Ouù  habitez-vous, Aalia?

[00:25:17.76]	  

[00:25:20.13]	  - J'habite là -bas. Avec mon pè re.

[00:25:21.43]	  - EÉ tiez-vous à  cette école?

[00:25:23.53]	  - Non, j'ai grandi à  Amritsar.

[00:25:25.46]	  Je suis allée dans un collè ge de filles.

[00:25:26.83]	  Ensuite, la chance a tourné.

[00:25:28.26]	  

[00:25:29.86]	  Mon pè re est devenu aveugle

[00:25:32.86]	  et j'ai dû  commencer à  travailler.

[00:25:34.89]	  - J'imagine que c'est difficile.

[00:25:37.56]	  - Pas du tout. Mon travail me permet d'ê tre indépendante.

[00:25:38.96]	  - C'est ce que ma mè re dit.

[00:25:41.89]	  Qu'elle ignorait qui elle était

[00:25:44.06]	  jusqu'à  ce qu'elle commence à  travailler.

[00:25:45.53]	  Elle n'est jamais fatiguée.

[00:25:47.76]	  Je ne la voyais pas souvent

[00:25:49.06]	  pendant la guerre, elle n'a pas arrê té.

[00:25:49.69]	

[00:25:50.96]	 (chanson en langue étrangè re)

[00:25:51.29]	  

[00:25:54.06]	

[00:25:56.29]	  

[00:26:25.29]	 - Jeet! Bienvenue aux fiançailles de mon fils!

[00:26:29.23]	  Je crois que tu connais mon fils, Sanjit.

[00:26:32.46]	  - Bien sû r qu'on se connaî t. Bienvenue.

[00:26:34.79]	  - As-tu fait la connaissance de cette jolie jeune fille

[00:26:36.13]	  qui va devenir sa femme? Sunita.

[00:26:38.63]	  - Non, je n'avais pas encore eu le plaisir de la rencontrer.

[00:26:40.46]	  Mais je suis ravi. Toutes mes félicitations à  vous deux.

[00:26:41.73]	  - Merci.

[00:26:43.53]	

[00:26:44.19]	 - Bonsoir, monsieur.

[00:26:44.53]	  

[00:26:48.49]	  J'espè re que vous vous souvenez de moi. Je suis Jeet Kumar.

[00:26:49.59]	  - Ah! Jeet Kumar!

[00:26:53.19]	  Bien sû r! Le petit policier! (rire)

[00:26:56.26]	  AÀ  peine en 9¤ 7e d'attacher ses chaussures.

[00:26:57.76]	  

[00:26:59.76]	  - Oui, monsieur. - Assieds-toi.

[00:27:02.43]	  Je suis ravi de te retrouver, Jeet Kumar.

[00:27:03.56]	  

[00:27:04.93]	  Tu te souviens,

[00:27:07.53]	  je te demandais de me lire Dickens.

[00:27:08.79]	  - C'est vrai. David Copperfield.

[00:27:11.16]	  La Maison d'AÂ pre-Vent. - Ah!

[00:27:14.19]	  Dis-moi, que fais-tu à  Delhi?

[00:27:16.29]	  - Figurez-vous que j'ai de grandes espérances.

[00:27:17.53]	  (rires)

[00:27:20.59]	  Je travaille pour M. Mountbatten.

[00:27:21.89]	  

[00:27:23.06]	

[00:27:25.79]	 - Aalia! Je me demandais ce que tu faisais.

[00:27:29.79]	  - J'étais avec lady Pamela. - Alors, comment elle est?

[00:27:32.33]	  - Elle pose plein de questions. Ce qui m'a étonnée,

[00:27:34.26]	  c'est qu'elle s'intéresse à  nous.

[00:27:36.89]	  Elle veut s'impliquer et compte améliorer l'école.

[00:27:38.16]	  - Tu n'es toujours pas marié?

[00:27:41.06]	  Et cette fille dont tu n'arrê tais pas de me parler,

[00:27:42.86]	  elle a enfin changé d'avis?

[00:27:44.56]	

[00:27:45.03]	 - Non, monsieur.

[00:27:46.39]	  

[00:27:48.59]	  Mais j'ai bon espoir.

[00:27:50.16]	  - Ah...

[00:27:52.03]	  - Ubba. - Ah! Aalia!

[00:27:53.73]	  Tu te souviens de Jeet Kumar?

[00:27:55.86]	  - Oui, Ubba.

[00:27:58.89]	  - Ma fille non plus n'est toujours pas mariée.

[00:28:00.59]	  Mais son petit ami Asif va bientô t revenir.

[00:28:02.89]	  Il était en Europe ouù  il s'est battu

[00:28:06.06]	  toutes ces années pour l'armée britannique.

[00:28:08.66]	  Quand il sera là , lui et ma fille pourront se marier.

[00:28:10.99]	  C'est ce qu'a souhaité la mè re d'Aalia,

[00:28:13.06]	  avant de mourir.

[00:28:15.86]	  Elle t'a choisi un bon mari. N'est-ce pas, Aalia?

[00:28:17.06]	  - Oui, Ubba.

[00:28:19.99]	  Il faut rentrer maintenant. Il est tard, viens.

[00:28:20.86]	  

[00:28:22.39]	  - Oui. Il vaut mieux.

[00:28:24.66]	  - Viens, mon ami. Je te raccompagne.

[00:28:26.13]	  - Reste avec tes amis et profite de la fê te.

[00:28:26.69]	  

[00:28:28.86]	  - Bonne nuit, monsieur.

[00:28:31.89]	  - AÀ  toi aussi, bonne nuit, Jeet Kumar.

[00:28:32.53]	

[00:28:32.76]	 Jeet.

[00:28:34.43]	  

[00:28:36.69]	  La prison, tu le sais, m'a rendu aveugle.

[00:28:37.59]	  

[00:28:40.26]	  J'aurais pu aussi perdre ma dignité dans ce cachot.

[00:28:43.33]	  Mais si ça n'a pas été le cas, c'est grâ ce à  toi.

[00:28:46.23]	  Et je te suis vraiment reconnaissant.

[00:28:47.93]	  

[00:28:48.93]	

[00:28:50.76]	  

[00:28:53.43]	 - Je te suis aussi reconnaissante

[00:28:57.13]	  d'avoir veillé sur mon pè re.

[00:28:59.03]	  - Ah! Te voilà , toi! Allez, viens!

[00:29:00.26]	  

[00:29:02.86]	  On va leur montrer comment on danse au Pendjab!

[00:29:03.53]	

[00:29:04.76]	 Tiens, vas-y!

[00:29:05.53]	  

[00:29:08.46]	  (chant en langue étrangè re)

[00:29:09.36]	  

[00:29:09.79]	

[00:29:11.96]	  

[00:29:21.66]	 Allez, Jeet! Ouais!

[00:29:24.76]	

[00:29:26.76]	  

[00:29:29.26]	 - On ne fait aucun mal en dansant.

[00:29:32.36]	

[00:29:34.09]	 - Eh, toi!

[00:29:34.36]	  

[00:29:37.93]	  Tu vois pas qu'elle veut pas danser?

[00:29:39.19]	  Fais gaffe à  ce que tu fais.

[00:29:41.06]	  - Arrê tez.

[00:29:43.46]	  - Jeet ne m'a rien fait. Tout va bien.

[00:29:45.76]	  - Si tu veux danser, danse avec les tiens.

[00:29:48.53]	  - Les miens? C'est-à -dire? - Calme-toi!

[00:29:50.63]	  - Un peu de respect.

[00:29:52.99]	  - Du respect? (exclamations)

[00:29:54.66]	  - Depuis quand un musulman nous dit ce qu'on doit faire?

[00:29:55.49]	  (cris)

[00:29:59.03]	  - Du calme! Vous ê tes fous?

[00:30:00.76]	  - Venez, venez. Venez.

[00:30:03.03]	  Allez, faites la paix! - Dépê che-toi!

[00:30:05.23]	  - Jouez! S'il vous plaî t! Jouez! Jouez! Musique!

[00:30:06.89]	  (La chanson reprend.)

[00:30:09.96]	

[00:30:12.39]	  

[00:30:39.53]	 - Il est 3 h du matin.

[00:30:42.63]	

[00:30:43.26]	 Venez vous coucher.

[00:30:44.63]	  

[00:30:47.13]	  Votre arbre généalogique peut attendre.

[00:30:48.46]	  - Edwina, je...

[00:30:50.93]	  je lis les rapports du gouverneur et...

[00:30:53.16]	  c'est affligeant.

[00:30:57.06]	  - Je sens poindre une nouvelle migraine.

[00:30:58.99]	  - Avez-vous pris un de vos comprimés?

[00:31:01.43]	  - Ils ne me sont d'aucun secours.

[00:31:03.53]	  Rien ne m'aide. C'est affreux.

[00:31:04.99]	  (Elle soupire.)

[00:31:07.93]	  - Le rapport sur le Pendjab est le pire de tous.

[00:31:08.96]	  

[00:31:10.56]	

[00:31:13.26]	 - Plus j'en apprends sur ce pays

[00:31:16.59]	  et plus je suis... démoralisée.

[00:31:18.73]	  - Ce dont je suis convaincu, c'est que le délai fixé

[00:31:21.19]	  pour la transition ne conviendra pas.

[00:31:23.36]	  Nous devons agir au plus vite.

[00:31:24.43]	  - Dickie...

[00:31:26.33]	  Il faut du temps.

[00:31:29.43]	  - Plus on restera là , plus la violence augmentera.

[00:31:30.93]	  Nous n'avons ni les moyens ni les effectifs

[00:31:32.46]	  pour éviter les débordements.

[00:31:34.56]	  - Vous ne devez pas brusquer les choses.

[00:31:35.53]	  Il faut me croire.

[00:31:38.76]	  C'est pour ça que vous jouez aussi mal aux échecs.

[00:31:39.76]	

[00:31:43.13]	 - Pug pense que le Pakistan est inévitable.

[00:31:47.19]	  Selon lui, je devrais rencontrer Jinnah en premier

[00:31:48.79]	  pour comprendre pourquoi.

[00:31:50.76]	

[00:31:51.63]	 - Nehru vous a proposé son amitié.

[00:31:52.76]	  

[00:31:55.46]	  C'est... quelque chose de précieux.

[00:31:58.29]	  Rencontrez-le avant les autres.

[00:32:00.03]	  

[00:32:01.56]	  - Ce que nous voulons,

[00:32:04.16]	  c'est trouver la meilleure solution possible.

[00:32:05.79]	  - Pour le parti du congrè s,

[00:32:08.39]	  il n'est pas question de diviser la mè re patrie.

[00:32:09.63]	  CÇ a reviendrait à  bafouer

[00:32:12.39]	  les idées pour lesquelles on s'est toujours battues.

[00:32:13.86]	  Et... ça briserait le coeur de Gandhiji.

[00:32:15.96]	  - Alors comment maintenir la paix?

[00:32:18.96]	  Vous teniez à  ce que nous quittions l'Inde,

[00:32:20.43]	  mais comment partir si vous divergez

[00:32:22.96]	  sur ce que doit ê tre votre avenir?

[00:32:24.73]	  - Si je comprends bien, vous nous accusez

[00:32:26.49]	  d'avoir créé cette situation?

[00:32:28.39]	  - Je ne suis en train d'accuser personne.

[00:32:29.73]	  Mais je veux dire qu'il faut éviter

[00:32:31.26]	  une guerre civile coû te que coû te.

[00:32:32.66]	  - Pardonnez-moi, mais tout cela

[00:32:34.33]	  est la conséquence de la politique britannique.

[00:32:35.96]	  Vous avez tout fait pour attiser la haine

[00:32:38.26]	  entre nos différentes communautés.

[00:32:40.76]	  En séparant les écoles.

[00:32:43.39]	  Et les manuels.

[00:32:45.36]	  Les élections.

[00:32:47.29]	  Cela a toujours été votre politique.

[00:32:48.33]	  Diviser pour mieux régner.

[00:32:50.56]	  Aprè s nous avoir divisés,

[00:32:53.56]	  vous me demandez de trouver une solution?

[00:32:54.79]	

[00:32:55.86]	 - En l'absence de paix,

[00:32:57.96]	  

[00:32:59.73]	  tous les autres rê ves s'effondrent

[00:33:01.59]	  et sont réduits en cendre.

[00:33:03.36]	

[00:33:06.03]	 AÀ  vous entendre, la seule et unique alternative

[00:33:08.29]	

[00:33:09.16]	 à  la coexistence serait la codestruction.

[00:33:12.26]	

[00:33:14.69]	 Mais je ne suis venue que pour vous demander

[00:33:16.26]	  

[00:33:18.33]	  de transmettre un message.

[00:33:20.99]	  Votre soeur m'a trè s gentiment proposé

[00:33:22.23]	  de me faire visiter le congrè s.

[00:33:24.06]	  Pourriez-vous lui dire

[00:33:26.53]	  que ce serait pour moi un honneur d'accepter.

[00:33:27.59]	  - Avec plaisir.

[00:33:29.39]	

[00:33:30.79]	  

[00:33:35.26]	 Votre femme est...

[00:33:38.99]	  trè s cultivée. (petit rire)

[00:33:40.43]	  - Oui. L'ironie du sort a voulu

[00:33:43.33]	  qu'elle soit beaucoup plus politisée

[00:33:45.06]	  que ne l'est son mari.

[00:33:46.96]	  C'est une idéaliste de gauche,

[00:33:48.89]	  alors que moi, je suis un militaire.

[00:33:50.33]	  - Quels sont vos ordres ici?

[00:33:51.76]	  

[00:33:54.03]	  - Apporter l'indépendance aux Indiens.

[00:33:55.26]	  

[00:33:57.13]	  Le plus en douceur possible.

[00:33:59.79]	  Mais quelle sera cette Inde? Vous la voyez comment?

[00:34:00.79]	  

[00:34:02.53]	  - L'Inde, c'est son peuple.

[00:34:05.46]	  Des individus, hommes et femmes,

[00:34:08.76]	  reliés ensemble par d'indestructibles liens.

[00:34:11.36]	  Notre volonté ne sera jamais vaincue.

[00:34:14.56]	  Pendant toutes ces années sous votre empire,

[00:34:17.26]	  elle n'a fait que se renforcer.

[00:34:19.39]	  Nous formons un tout.

[00:34:21.96]	  - C'est pour tout ça que nos parents se sont battus?

[00:34:22.43]	  

[00:34:25.69]	  C'est merveilleux de penser qu'on va vivre ça.

[00:34:26.93]	  

[00:34:29.53]	  - Quelle est la premiè re chose que tu feras

[00:34:30.63]	  

[00:34:33.06]	  quand l'Inde sera libérée?

[00:34:34.99]	  - La premiè re chose?

[00:34:37.43]	  Je vais monter au sommet du palais du vice-roi

[00:34:38.73]	  et je vais hurler de joie!

[00:34:40.99]	  Et toi, que feras-tu?

[00:34:42.36]	

[00:34:43.63]	 - Me marier avec toi.

[00:34:44.13]	  

[00:34:47.09]	  (musique douce)

[00:34:49.43]	  - Tu sais que ça n'arrivera jamais.

[00:34:52.06]	  - Tu es tellement courageuse.

[00:34:54.86]	  Tu es la femme la plus courageuse que je connaisse.

[00:34:55.86]	  

[00:34:58.79]	  N'essaye pas d'échapper à  ce qui est évident.

[00:34:59.86]	  

[00:35:01.46]	

[00:35:03.46]	  

[00:35:04.86]	 - Et vous, que pensez-vous de tout ça?

[00:35:07.96]	

[00:35:09.96]	  

[00:35:11.19]	 - Diviser l'Inde serait la pire des tragédies.

[00:35:15.19]	  - Alors, s'il vous plaî t, dites-le à  Jinnah.

[00:35:17.03]	  

[00:35:18.26]	

[00:35:19.86]	 Pour moi, c'est nouveau, cette sensation.

[00:35:21.46]	  

[00:35:23.26]	  - Quoi donc?

[00:35:26.39]	  - Faire confiance au vice-roi.

[00:35:28.16]	  J'ai passé neuf ans, neuf ans de ma vie

[00:35:29.36]	  

[00:35:31.46]	  dans les prisons anglaises,

[00:35:34.56]	  mais je suis persuadé que vous ê tes sincè re, Dickie.

[00:35:36.49]	  Et je crois aussi que vous aimez mon pays.

[00:35:38.06]	  

[00:35:40.06]	  Ne laissez pas Jinnah vous convaincre

[00:35:43.03]	  de le diviser en deux.

[00:35:44.79]	

[00:35:46.43]	 (musique douce)

[00:35:46.59]	  

[00:35:49.53]	

[00:35:51.99]	 (gazouillis)

[00:35:54.93]	

[00:35:56.76]	  

[00:36:10.49]	 (conversations indistinctes)

[00:36:13.59]	

[00:36:15.59]	  

[00:36:18.63]	 - Ubba.

[00:36:22.29]	  Je t'ai amené de la visite.

[00:36:24.36]	  - Aalia? Ouù  étais-tu passée?

[00:36:26.16]	  - Ubba, Jeet est venu te voir.

[00:36:27.23]	  

[00:36:29.09]	  - Bonsoir, monsieur. - Bonsoir.

[00:36:31.83]	  - On a quelque chose d'important à  te dire--

[00:36:33.59]	  - Plus tard! Plus tard!

[00:36:35.69]	  Tu ne devineras jamais qui est là .

[00:36:36.29]	

[00:36:38.43]	  

[00:36:39.19]	 - Aalia. - Asif?

[00:36:42.76]	  (salutations en arabe)

[00:36:44.59]	

[00:36:48.33]	 - J'avais tellement peur que tu ne me reconnaisses pas.

[00:36:51.36]	  CÇ a fait si longtemps.

[00:36:54.26]	  Je pensais que l'armée britannique

[00:36:55.03]	  

[00:36:57.13]	  ne nous laisserait jamais partir.

[00:36:58.79]	  Notre régiment a été le dernier à  ê tre démobilisé.

[00:37:00.29]	  Pour moi, la guerre est enfin finie.

[00:37:02.93]	  - Asif, je te présente Jeet Kumar,

[00:37:05.16]	  mon vieil ami de Lahore.

[00:37:07.93]	  Aalia, tu te rends compte?

[00:37:10.49]	  Asif travaille avec Jinnah maintenant.

[00:37:12.16]	  - Mohammad Ali Jinnah?

[00:37:14.16]	  - Seulement comme chauffeur et assistant.

[00:37:15.99]	  Mais... j'ai décidé que je ferais tout pour le servir.

[00:37:17.76]	  - Asif, dis à  M. Jinnah

[00:37:21.09]	  que beaucoup de musulmans aussi se sont battus pour l'Inde.

[00:37:23.46]	  On ne souhaite pas une partition.

[00:37:26.59]	  - Mais Jinnah est un visionnaire, monsieur.

[00:37:27.36]	  

[00:37:29.56]	  - Pour moi, c'est quelqu'un qui sè me la pagaille.

[00:37:31.56]	  - C'est le seul qui parle en notre nom.

[00:37:32.86]	

[00:37:34.66]	 (musique douce)

[00:37:34.86]	  

[00:37:37.76]	

[00:37:39.76]	  

[00:37:43.16]	 - Monsieur Jinnah! Une photo, s'il vous plaî t.

[00:37:46.69]	  Une poignée de main!

[00:37:49.06]	  -  Porte-parole d'un trè s grand   nombre de mahométans indiens

[00:37:50.53]	     et dirigeant de la Ligue   musulmane,

[00:37:52.59]	    Muhammad Ali Jinnah.

[00:37:54.59]	    S'opposant au parti du congrè s

[00:37:56.86]	     qui, lui, demande   l'indépendance de l'Inde...

[00:37:57.96]	  (langue étrangè re)

[00:38:00.96]	    Il souhaite que   la Grande-Bretagne crée

[00:38:03.19]	    un EÉ tat séparé et indépendant

[00:38:05.96]	    qui réunirait les provinces   à  majorité musulmanes.

[00:38:06.56]	

[00:38:08.33]	 - Nous aussi, nous regardons vers l'avenir.

[00:38:08.76]	  

[00:38:11.96]	  Je l'ai appris en visitant

[00:38:14.29]	  les vieux clochers de Cambridge.

[00:38:16.26]	  - C'est vrai. Un paradis pour les historiens.

[00:38:18.06]	  - Cambridge crée aussi des visionnaires.

[00:38:21.39]	  - Comme votre vieil ami, M. Nehru.

[00:38:23.79]	  - Peu aprè s l'époque de M. Nehru, en 1933,

[00:38:26.16]	  un groupe d'étudiants de Cambridge

[00:38:29.39]	  a eu une idée magnifique et trè s originale.

[00:38:31.66]	  - Ah, oui? Laquelle?

[00:38:34.29]	  - Le Pakistan.

[00:38:35.66]	  Le pays des purs.

[00:38:38.26]	  Les musulmans ne veulent pas souffrir de discrimination

[00:38:39.19]	  

[00:38:41.89]	  comme les Noirs des EÉ tats-Unis d'Amérique.

[00:38:44.33]	  - Je vous assure que les musulmans ne serons pas

[00:38:46.19]	  traités comme des citoyens de seconde zone.

[00:38:48.23]	  - Mais nous représentons un quart de la population.

[00:38:49.56]	  Comment nous le garantissez-vous?

[00:38:51.56]	  - Si vous négociez avec les autres dirigeants,

[00:38:53.16]	  vous obtiendrez une protection constitutionnelle

[00:38:54.89]	  pour les musulmans.

[00:38:56.73]	  - Ce sont les autres dirigeants

[00:38:58.76]	  qui refusent de négocier avec moi.

[00:39:00.46]	  J'ai déjà  la solution.

[00:39:03.23]	  La création d'un EÉ tat musulman, le Pakistan.

[00:39:04.96]	

[00:39:08.39]	  

[00:39:13.26]	 - Vous imaginez vraiment l'Inde

[00:39:16.83]	  divisée en deux parties?

[00:39:19.26]	  - Parfois, la chirurgie peut sauver le patient.

[00:39:20.29]	

[00:39:22.03]	 - Et ouù  proposez-vous de pratiquer l'incision?

[00:39:23.76]	  

[00:39:25.96]	  - Le Pakistan comprendrait les provinces

[00:39:29.06]	  et les EÉ tats à  majorité musulmane.

[00:39:30.36]	  - Et que fait-on des provinces

[00:39:32.46]	  qui ont autant de musulmans que d'hindous?

[00:39:34.03]	  Le Pendjab? Le Bengale? Que deviendront-elles?

[00:39:35.36]	  - Elles feront partie du Pakistan.

[00:39:37.26]	  Les idéaux de l'islam

[00:39:39.16]	  nous ont appris la démocratie et la justice.

[00:39:41.73]	  Chaque citoyen hindou et sikh pourra pratiquer sa religion

[00:39:43.83]	  et voter pour qui il a envie.

[00:39:47.19]	  Mais au moins, nous, les musulmans,

[00:39:49.49]	  nous seront protégés, car nous serons majoritaires.

[00:39:51.96]	  Peut-ê tre bien qu'à  une époque, je pensais naiï vement

[00:39:54.59]	  que nos intérê ts pourraient ê tre garantis

[00:39:57.79]	  dans une Inde unie.

[00:40:00.33]	  Mais c'était il y a fort longtemps.

[00:40:02.83]	  Nehru et Gandhi n'ont fait montre que de mépris

[00:40:05.09]	  pour moi et mes opinions.

[00:40:07.46]	  Comment leur faire confiance

[00:40:09.39]	  afin qu'ils respectent les musulmans?

[00:40:10.03]	

[00:40:12.43]	 - Regardez cette branche de mon arbre généalogique.

[00:40:15.49]	  Elle s'est éteinte faute de nouvelles pousses.

[00:40:17.83]	  C'est mon oncle Nicolas.

[00:40:21.36]	  Il était tsar de Russie.

[00:40:24.06]	  Lui, toute sa famille et ses serviteurs

[00:40:26.39]	  ont été passés à  la baiï onnette et brû lés vifs

[00:40:28.59]	  pour que l'utopie d'un homme puisse voir le jour.

[00:40:31.76]	  Les nouvelles nations naissent rarement dans la paix.

[00:40:34.99]	  - Mais forcer les hindous et les musulmans à  ê tre unis

[00:40:37.16]	  dans un EÉ tat inégal déclencherait justement

[00:40:40.36]	  la boucherie que vous voulez éviter.

[00:40:41.96]	  - En étant unis,

[00:40:44.63]	  vous représentez 20% de la population mondiale.

[00:40:46.33]	  L'Inde deviendrait

[00:40:50.19]	  la plus grande puissance de toute l'Asie.

[00:40:51.89]	  - L'Inde n'a jamais été une vraie nation.

[00:40:54.39]	  Elle donne l'impression de l'ê tre sur la carte.

[00:40:56.99]	  Les Britanniques ont divisé l'Irlande

[00:40:59.46]	  pour maintenir la paix.

[00:41:01.23]	  Ils divisent la Palestine.

[00:41:02.69]	  

[00:41:04.09]	  Ils doivent faire pareil avec l'Inde.

[00:41:05.36]	  

[00:41:07.23]	  - Je l'ai entendu de mes propres oreilles.

[00:41:09.36]	  Jinnah l'a bien dit.

[00:41:11.73]	  Il divisera l'Inde en deux parties.

[00:41:13.06]	  - Il va nous donner le Pakistan.

[00:41:14.03]	  

[00:41:15.79]	  - Non! Non! C'est impossible.

[00:41:17.86]	  - Pourquoi impossible? - Gandhiji a dit:

[00:41:20.23]	  Jamais tant qu'il est vivant. Il ne mentirait pas.

[00:41:20.96]	

[00:41:22.19]	 (cris pour le Pakistan)

[00:41:23.36]	  

[00:41:26.09]	  - Vous ê tes fous! Vous arrê tez, oui?

[00:41:29.49]	  (cris indistincts)

[00:41:32.19]	  CÇ a suffit, mes frè res! CÇ a suffit!

[00:41:34.89]	  Les Britanniques gouvernent l'Inde depuis 300 ans,

[00:41:37.63]	  en semant la discorde entre nos communautés comme maintenant!

[00:41:40.39]	  - Guptaji... - Non, Mohsin!

[00:41:43.53]	  Il ne faut pas que ce poison nous contamine.

[00:41:44.86]	  - Le Pakistan-- - Taisez-vous!

[00:41:48.43]	  Je vous rappelle que les discussions

[00:41:50.13]	  qui se tiennent là -haut

[00:41:52.43]	  ne vous regardent absolument pas!

[00:41:53.89]	  Il est 17 h 45!

[00:41:56.13]	  Le dî ner va ê tre servi en retard.

[00:41:57.86]	  Tous au travail! Allez, dépê chez-vous!

[00:41:59.63]	

[00:42:01.63]	  

