Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 
[00:21:56:05]	     a déjà  fait plus   de 40 000 victimes.

[00:21:58:00]	

[00:21:58:07]	   Le nouveau vice-roi   des Indes est arrivé

[00:22:00:16]	  

[00:22:02:08]	    au milieu d'horribles   scè nes de mort

[00:22:04:11]	    et de destruction.

[00:22:06:14]	    Ce serait une honte   qui marquerait

[00:22:08:19]	    de façon indélébile

[00:22:10:28]	    la réputation   de la Grande-Bretagne

[00:22:12:20]	    si nous devions abandonner

[00:22:15:09]	     400 millions de primitifs   livrés à  leur triste sort.

[00:22:17:01]	

[00:22:20:26]	  

[00:22:21:23]	 - Appliquez-vous!

[00:22:25:04]	  Sortez les plats du four, les gratins sont prê ts.

[00:22:26:23]	  Vous me coupez ça bien droit!

[00:22:28:22]	  

[00:22:29:19]	  Faites des parts égales.

[00:22:31:03]	  Elles doivent toutes ê tre de la mê me taille.

[00:22:32:21]	  - C'est inhabituel.

[00:22:34:10]	  Le personnel ne va pas comprendre.

[00:22:36:03]	  - Moi, je veux qu'ils sachent à  qui ils ont affaire.

[00:22:38:03]	

[00:22:40:12]	  

[00:22:43:02]	 - Attention, lady Mountbatten.

[00:22:46:20]	  Laisse-les passer.

[00:22:48:08]	  - Par là , votre excellence.

[00:22:49:18]	

[00:22:51:06]	 (langue étrangè re)

[00:22:51:25]	  

[00:22:54:19]	  - Sortez-moi ces poulets du four!

[00:22:55:26]	  - Notre chef cuisinier anglais

[00:22:57:08]	  est parti précipitamment avec lord Wavell.

[00:22:58:18]	  Nous attendons son remplaçant qui arrive d'Angleterre.

[00:23:00:25]	

[00:23:01:13]	 Pour le moment, permettez-moi

[00:23:03:15]	  

[00:23:05:03]	  de vous présenter le chef cuisinier suppléant.

[00:23:06:20]	  Ram Lal Chandra.

[00:23:08:29]	

[00:23:10:02]	 Il a été formé à  la plus haute gastronomie européenne

[00:23:11:08]	  

[00:23:14:04]	  et sera en mesure de satisfaire à  vos exigences.

[00:23:17:04]	  - Je pense que nous devons éviter au nouveau chef anglais

[00:23:20:10]	  de faire le voyage.

[00:23:23:04]	  M. Chandra fera un excellent travail.

[00:23:25:10]	

[00:23:25:19]	 Ce merveilleux dî ner que vous avez servi hier soir

[00:23:28:00]	  

[00:23:29:20]	  ne peut rien envier au Claridge.

[00:23:32:03]	  - Lady Sahib,

[00:23:34:21]	  vos compliments vont aussi à  toute mon équipe

[00:23:36:11]	  et à  mon second, Jinnah Abdul Malik.

[00:23:39:14]	

[00:23:40:14]	 Il prépare un excellent agneau Wellington

[00:23:42:16]	  

[00:23:44:09]	  et un délicieux pouding à  la confiture d'orange.

[00:23:46:19]	  - Bien sû r. Tout cela me semble parfait,

[00:23:49:13]	  mais avec votre accord, monsieur Chandra,

[00:23:52:09]	  j'aimerais faire quelques changements.

[00:23:54:09]	  Dorénavant, il y aura plus d'Indiens

[00:23:57:06]	  de toute confession autour de notre table.

[00:24:00:06]	  Et nous servirons ce qu'ils aiment.

[00:24:03:28]	  - La plupart d'entre eux mangent avec leurs doigts,

[00:24:05:22]	  

[00:24:07:08]	  votre excellence.

[00:24:09:20]	  - Si cela est une coutume, c'est parfaitement acceptable.

[00:24:11:13]	  - Madame.

[00:24:13:26]	  Beaucoup d'Indiens sont végétariens.

[00:24:15:15]	  Pas de mouton, pas de poulet, pas de gibier.

[00:24:18:01]	  (langue étrangè re)

[00:24:21:08]	

[00:24:21:16]	 - Qu'est-ce qui chagrine ce monsieur?

[00:24:25:08]	  - M. Malik disait...

[00:24:27:13]	  Votre excellence...

[00:24:29:12]	  

[00:24:30:10]	

[00:24:31:02]	 Qu'il vous est reconnaissant

[00:24:32:07]	  

[00:24:34:19]	  de vouloir introduire la diversification au palais.

[00:24:36:19]	  Nous attendions ce moment depuis trè s longtemps.

[00:24:39:13]	  - Je vous remercie de votre compréhension

[00:24:41:00]	  

[00:24:42:10]	  et de vos talents.

[00:24:45:00]	

[00:24:46:20]	 Je dois aller retrouver les femmes des gouverneurs.

[00:24:50:03]	  - Tu crois donner un bon exemple, Jinnah Abdul?

[00:24:51:29]	  (en choeur): Yéti!

[00:24:54:18]	  - Z comme?

[00:24:55:25]	  (en choeur): Zè bre!

[00:24:56:29]	  - J'aimerais tellement communiquer avec eux.

[00:24:58:18]	  - Essayez de dire ceci.

[00:25:00:13]	  (langue étrangè re)

[00:25:02:16]	  (Elle répè te.)

[00:25:04:18]	  

[00:25:05:16]	  (rires)

[00:25:07:15]	  - Avant vous, aucun vice-roi ni aucun membre de sa famille

[00:25:09:18]	  

[00:25:10:18]	  n'était jamais venu dans le quartier des employés.

[00:25:13:11]	  - Les maisons semblent petites pour toute une famille.

[00:25:15:13]	

[00:25:15:22]	 Ouù  habitez-vous, Aalia?

[00:25:17:22]	  

[00:25:19:08]	  - J'habite là -bas. Avec mon pè re.

[00:25:20:21]	  - EÉ tiez-vous à  cette école?

[00:25:22:23]	  - Non, j'ai grandi à  Amritsar.

[00:25:24:15]	  Je suis allée dans un collè ge de filles.

[00:25:26:05]	  Ensuite, la chance a tourné.

[00:25:28:07]	  

[00:25:29:05]	  Mon pè re est devenu aveugle

[00:25:32:00]	  et j'ai dû  commencer à  travailler.

[00:25:34:03]	  - J'imagine que c'est difficile.

[00:25:36:10]	  - Pas du tout. Mon travail me permet d'ê tre indépendante.

[00:25:38:08]	  - C'est ce que ma mè re dit.

[00:25:41:05]	  Qu'elle ignorait qui elle était

[00:25:43:03]	  jusqu'à  ce qu'elle commence à  travailler.

[00:25:44:26]	  Elle n'est jamais fatiguée.

[00:25:47:03]	  Je ne la voyais pas souvent

[00:25:48:04]	  pendant la guerre, elle n'a pas arrê té.

[00:25:49:18]	

[00:25:50:10]	 (chanson en langue étrangè re)

[00:25:51:08]	  

[00:25:53:29]	

[00:25:56:08]	  

[00:26:24:12]	 - Jeet! Bienvenue aux fiançailles de mon fils!

[00:26:28:09]	  Je crois que tu connais mon fils, Sanjit.

[00:26:31:16]	  - Bien sû r qu'on se connaî t. Bienvenue.

[00:26:33:19]	  - As-tu fait la connaissance de cette jolie jeune fille

[00:26:35:11]	  qui va devenir sa femme? Sunita.

[00:26:37:11]	  - Non, je n'avais pas encore eu le plaisir de la rencontrer.

[00:26:39:08]	  Mais je suis ravi. Toutes mes félicitations à  vous deux.

[00:26:41:13]	  - Merci.

[00:26:43:13]	

[00:26:43:23]	 - Bonsoir, monsieur.

[00:26:44:15]	  

[00:26:47:06]	  J'espè re que vous vous souvenez de moi. Je suis Jeet Kumar.

[00:26:49:04]	  - Ah! Jeet Kumar!

[00:26:52:10]	  Bien sû r! Le petit policier! (rire)

[00:26:55:08]	  AÀ  peine en 9¤ 7e d'attacher ses chaussures.

[00:26:57:22]	  

[00:26:59:01]	  - Oui, monsieur. - Assieds-toi.

[00:27:01:14]	  Je suis ravi de te retrouver, Jeet Kumar.

[00:27:03:16]	  

[00:27:04:14]	  Tu te souviens,

[00:27:06:20]	  je te demandais de me lire Dickens.

[00:27:08:00]	  - C'est vrai. David Copperfield.

[00:27:10:11]	  La Maison d'AÂ pre-Vent. - Ah!

[00:27:13:14]	  Dis-moi, que fais-tu à  Delhi?

[00:27:15:08]	  - Figurez-vous que j'ai de grandes espérances.

[00:27:17:06]	  (rires)

[00:27:19:24]	  Je travaille pour M. Mountbatten.

[00:27:21:26]	  

[00:27:22:29]	

[00:27:24:28]	 - Aalia! Je me demandais ce que tu faisais.

[00:27:28:19]	  - J'étais avec lady Pamela. - Alors, comment elle est?

[00:27:31:06]	  - Elle pose plein de questions. Ce qui m'a étonnée,

[00:27:33:14]	  c'est qu'elle s'intéresse à  nous.

[00:27:35:24]	  Elle veut s'impliquer et compte améliorer l'école.

[00:27:37:14]	  - Tu n'es toujours pas marié?

[00:27:39:28]	  Et cette fille dont tu n'arrê tais pas de me parler,

[00:27:42:06]	  elle a enfin changé d'avis?

[00:27:44:14]	

[00:27:44:21]	 - Non, monsieur.

[00:27:46:11]	  

[00:27:48:01]	  Mais j'ai bon espoir.

[00:27:49:25]	  - Ah...

[00:27:51:13]	  - Ubba. - Ah! Aalia!

[00:27:53:01]	  Tu te souviens de Jeet Kumar?

[00:27:55:14]	  - Oui, Ubba.

[00:27:57:26]	  - Ma fille non plus n'est toujours pas mariée.

[00:27:59:18]	  Mais son petit ami Asif va bientô t revenir.

[00:28:02:01]	  Il était en Europe ouù  il s'est battu

[00:28:05:04]	  toutes ces années pour l'armée britannique.

[00:28:07:16]	  Quand il sera là , lui et ma fille pourront se marier.

[00:28:10:03]	  C'est ce qu'a souhaité la mè re d'Aalia,

[00:28:12:19]	  avant de mourir.

[00:28:14:24]	  Elle t'a choisi un bon mari. N'est-ce pas, Aalia?

[00:28:16:20]	  - Oui, Ubba.

[00:28:18:28]	  Il faut rentrer maintenant. Il est tard, viens.

[00:28:20:25]	  

[00:28:21:25]	  - Oui. Il vaut mieux.

[00:28:23:25]	  - Viens, mon ami. Je te raccompagne.

[00:28:25:03]	  - Reste avec tes amis et profite de la fê te.

[00:28:26:20]	  

[00:28:28:08]	  - Bonne nuit, monsieur.

[00:28:30:28]	  - AÀ  toi aussi, bonne nuit, Jeet Kumar.

[00:28:32:13]	

[00:28:32:17]	 Jeet.

[00:28:34:12]	  

[00:28:35:23]	  La prison, tu le sais, m'a rendu aveugle.

[00:28:37:17]	  

[00:28:39:06]	  J'aurais pu aussi perdre ma dignité dans ce cachot.

[00:28:42:06]	  Mais si ça n'a pas été le cas, c'est grâ ce à  toi.

[00:28:45:11]	  Et je te suis vraiment reconnaissant.

[00:28:47:27]	  

[00:28:48:25]	

[00:28:50:22]	  

[00:28:52:22]	 - Je te suis aussi reconnaissante

[00:28:56:13]	  d'avoir veillé sur mon pè re.

[00:28:58:05]	  - Ah! Te voilà , toi! Allez, viens!

[00:29:00:07]	  

[00:29:01:25]	  On va leur montrer comment on danse au Pendjab!

[00:29:03:13]	

[00:29:04:13]	 Tiens, vas-y!

[00:29:05:15]	  

[00:29:07:23]	  (chant en langue étrangè re)

[00:29:09:10]	  

[00:29:09:21]	

[00:29:11:28]	  

[00:29:21:07]	 Allez, Jeet! Ouais!

[00:29:24:20]	

[00:29:26:22]	  

[00:29:28:16]	 - On ne fait aucun mal en dansant.

[00:29:32:08]	

[00:29:33:25]	 - Eh, toi!

[00:29:34:10]	  

[00:29:37:03]	  Tu vois pas qu'elle veut pas danser?

[00:29:38:15]	  Fais gaffe à  ce que tu fais.

[00:29:40:20]	  - Arrê tez.

[00:29:42:18]	  - Jeet ne m'a rien fait. Tout va bien.

[00:29:44:24]	  - Si tu veux danser, danse avec les tiens.

[00:29:47:18]	  - Les miens? C'est-à -dire? - Calme-toi!

[00:29:50:03]	  - Un peu de respect.

[00:29:52:08]	  - Du respect? (exclamations)

[00:29:53:14]	  - Depuis quand un musulman nous dit ce qu'on doit faire?

[00:29:55:06]	  (cris)

[00:29:58:08]	  - Du calme! Vous ê tes fous?

[00:30:00:06]	  - Venez, venez. Venez.

[00:30:02:04]	  Allez, faites la paix! - Dépê che-toi!

[00:30:04:06]	  - Jouez! S'il vous plaî t! Jouez! Jouez! Musique!

[00:30:06:10]	  (La chanson reprend.)

[00:30:09:26]	

[00:30:12:11]	  

[00:30:39:02]	 - Il est 3 h du matin.

[00:30:42:16]	

[00:30:42:25]	 Venez vous coucher.

[00:30:44:18]	  

[00:30:46:08]	  Votre arbre généalogique peut attendre.

[00:30:48:00]	  - Edwina, je...

[00:30:50:00]	  je lis les rapports du gouverneur et...

[00:30:52:21]	  c'est affligeant.

[00:30:56:05]	  - Je sens poindre une nouvelle migraine.

[00:30:58:05]	  - Avez-vous pris un de vos comprimés?

[00:31:00:21]	  - Ils ne me sont d'aucun secours.

[00:31:02:23]	  Rien ne m'aide. C'est affreux.

[00:31:04:16]	  (Elle soupire.)

[00:31:06:26]	  - Le rapport sur le Pendjab est le pire de tous.

[00:31:08:28]	  

[00:31:10:14]	

[00:31:12:16]	 - Plus j'en apprends sur ce pays

[00:31:15:25]	  et plus je suis... démoralisée.

[00:31:17:18]	  - Ce dont je suis convaincu, c'est que le délai fixé

[00:31:20:10]	  pour la transition ne conviendra pas.

[00:31:22:19]	  Nous devons agir au plus vite.

[00:31:24:01]	  - Dickie...

[00:31:25:26]	  Il faut du temps.

[00:31:28:09]	  - Plus on restera là , plus la violence augmentera.

[00:31:30:00]	  Nous n'avons ni les moyens ni les effectifs

[00:31:31:23]	  pour éviter les débordements.

[00:31:33:19]	  - Vous ne devez pas brusquer les choses.

[00:31:35:01]	  Il faut me croire.

[00:31:37:20]	  C'est pour ça que vous jouez aussi mal aux échecs.

[00:31:39:20]	

[00:31:42:06]	 - Pug pense que le Pakistan est inévitable.

[00:31:46:03]	  Selon lui, je devrais rencontrer Jinnah en premier

[00:31:48:06]	  pour comprendre pourquoi.

[00:31:50:20]	

[00:31:50:27]	 - Nehru vous a proposé son amitié.

[00:31:52:22]	  

[00:31:54:19]	  C'est... quelque chose de précieux.

[00:31:57:18]	  Rencontrez-le avant les autres.

[00:32:00:00]	  

[00:32:01:00]	  - Ce que nous voulons,

[00:32:03:05]	  c'est trouver la meilleure solution possible.

[00:32:05:04]	  - Pour le parti du congrè s,

[00:32:07:09]	  il n'est pas question de diviser la mè re patrie.

[00:32:09:00]	  CÇ a reviendrait à  bafouer

[00:32:11:09]	  les idées pour lesquelles on s'est toujours battues.

[00:32:12:28]	  Et... ça briserait le coeur de Gandhiji.

[00:32:15:04]	  - Alors comment maintenir la paix?

[00:32:18:01]	  Vous teniez à  ce que nous quittions l'Inde,

[00:32:19:18]	  mais comment partir si vous divergez

[00:32:22:03]	  sur ce que doit ê tre votre avenir?

[00:32:23:24]	  - Si je comprends bien, vous nous accusez

[00:32:25:24]	  d'avoir créé cette situation?

[00:32:27:13]	  - Je ne suis en train d'accuser personne.

[00:32:28:28]	  Mais je veux dire qu'il faut éviter

[00:32:30:13]	  une guerre civile coû te que coû te.

[00:32:31:28]	  - Pardonnez-moi, mais tout cela

[00:32:33:09]	  est la conséquence de la politique britannique.

[00:32:35:00]	  Vous avez tout fait pour attiser la haine

[00:32:37:13]	  entre nos différentes communautés.

[00:32:40:05]	  En séparant les écoles.

[00:32:42:28]	  Et les manuels.

[00:32:44:28]	  Les élections.

[00:32:46:14]	  Cela a toujours été votre politique.

[00:32:47:21]	  Diviser pour mieux régner.

[00:32:49:28]	  Aprè s nous avoir divisés,

[00:32:52:21]	  vous me demandez de trouver une solution?

[00:32:54:21]	

[00:32:55:11]	 - En l'absence de paix,

[00:32:57:28]	  

[00:32:58:26]	  tous les autres rê ves s'effondrent

[00:33:00:29]	  et sont réduits en cendre.

[00:33:03:08]	

[00:33:05:01]	 AÀ  vous entendre, la seule et unique alternative

[00:33:08:06]	

[00:33:08:11]	 à  la coexistence serait la codestruction.

[00:33:12:05]	

[00:33:13:24]	 Mais je ne suis venue que pour vous demander

[00:33:16:07]	  

[00:33:17:21]	  de transmettre un message.

[00:33:20:03]	  Votre soeur m'a trè s gentiment proposé

[00:33:21:15]	  de me faire visiter le congrè s.

[00:33:23:15]	  Pourriez-vous lui dire

[00:33:25:16]	  que ce serait pour moi un honneur d'accepter.

[00:33:27:04]	  - Avec plaisir.

[00:33:29:09]	

[00:33:30:23]	  

[00:33:34:26]	 Votre femme est...

[00:33:38:08]	  trè s cultivée. (petit rire)

[00:33:39:19]	  - Oui. L'ironie du sort a voulu

[00:33:42:14]	  qu'elle soit beaucoup plus politisée

[00:33:44:15]	  que ne l'est son mari.

[00:33:46:08]	  C'est une idéaliste de gauche,

[00:33:48:01]	  alors que moi, je suis un militaire.

[00:33:49:20]	  - Quels sont vos ordres ici?

[00:33:51:22]	  

[00:33:53:05]	  - Apporter l'indépendance aux Indiens.

[00:33:55:07]	  

[00:33:56:14]	  Le plus en douceur possible.

[00:33:58:21]	  Mais quelle sera cette Inde? Vous la voyez comment?

[00:34:00:23]	  

[00:34:01:26]	  - L'Inde, c'est son peuple.

[00:34:04:21]	  Des individus, hommes et femmes,

[00:34:07:23]	  reliés ensemble par d'indestructibles liens.

[00:34:10:14]	  Notre volonté ne sera jamais vaincue.

[00:34:13:18]	  Pendant toutes ces années sous votre empire,

[00:34:16:16]	  elle n'a fait que se renforcer.

[00:34:18:25]	  Nous formons un tout.

[00:34:20:25]	  - C'est pour tout ça que nos parents se sont battus?

[00:34:22:12]	  

[00:34:24:20]	  C'est merveilleux de penser qu'on va vivre ça.

[00:34:26:27]	  

[00:34:28:16]	  - Quelle est la premiè re chose que tu feras

[00:34:30:18]	  

[00:34:32:13]	  quand l'Inde sera libérée?

[00:34:34:13]	  - La premiè re chose?

[00:34:36:13]	  Je vais monter au sommet du palais du vice-roi

[00:34:38:03]	  et je vais hurler de joie!

[00:34:40:13]	  Et toi, que feras-tu?

[00:34:42:08]	

[00:34:43:05]	 - Me marier avec toi.

[00:34:44:03]	  

[00:34:46:19]	  (musique douce)

[00:34:48:19]	  - Tu sais que ça n'arrivera jamais.

[00:34:51:11]	  - Tu es tellement courageuse.

[00:34:53:23]	  Tu es la femme la plus courageuse que je connaisse.

[00:34:55:25]	  

[00:34:57:23]	  N'essaye pas d'échapper à  ce qui est évident.

[00:34:59:25]	  

[00:35:01:11]	

[00:35:03:13]	  

[00:35:04:02]	 - Et vous, que pensez-vous de tout ça?

[00:35:07:26]	

[00:35:09:28]	  

[00:35:10:08]	 - Diviser l'Inde serait la pire des tragédies.

[00:35:14:06]	  - Alors, s'il vous plaî t, dites-le à  Jinnah.

[00:35:17:00]	  

[00:35:18:05]	

[00:35:19:03]	 Pour moi, c'est nouveau, cette sensation.

[00:35:21:13]	  

[00:35:22:26]	  - Quoi donc?

[00:35:25:21]	  - Faire confiance au vice-roi.

[00:35:27:08]	  J'ai passé neuf ans, neuf ans de ma vie

[00:35:29:10]	  

[00:35:30:24]	  dans les prisons anglaises,

[00:35:33:11]	  mais je suis persuadé que vous ê tes sincè re, Dickie.

[00:35:35:18]	  Et je crois aussi que vous aimez mon pays.

[00:35:38:01]	  

[00:35:39:05]	  Ne laissez pas Jinnah vous convaincre

[00:35:42:14]	  de le diviser en deux.

[00:35:44:21]	

[00:35:46:02]	 (musique douce)

[00:35:46:17]	  

[00:35:49:13]	

[00:35:51:20]	 (gazouillis)

[00:35:54:25]	

[00:35:56:22]	  

[00:36:09:28]	 (conversations indistinctes)

[00:36:13:15]	

[00:36:15:17]	  

[00:36:18:12]	 - Ubba.

[00:36:21:19]	  Je t'ai amené de la visite.

[00:36:23:19]	  - Aalia? Ouù  étais-tu passée?

[00:36:25:14]	  - Ubba, Jeet est venu te voir.

[00:36:27:06]	  

[00:36:28:10]	  - Bonsoir, monsieur. - Bonsoir.

[00:36:30:25]	  - On a quelque chose d'important à  te dire--

[00:36:33:00]	  - Plus tard! Plus tard!

[00:36:34:25]	  Tu ne devineras jamais qui est là .

[00:36:36:06]	

[00:36:38:12]	  

[00:36:38:24]	 - Aalia. - Asif?

[00:36:42:06]	  (salutations en arabe)

[00:36:44:15]	

[00:36:47:08]	 - J'avais tellement peur que tu ne me reconnaisses pas.

[00:36:50:23]	  CÇ a fait si longtemps.

[00:36:53:13]	  Je pensais que l'armée britannique

[00:36:55:00]	  

[00:36:56:10]	  ne nous laisserait jamais partir.

[00:36:57:19]	  Notre régiment a été le dernier à  ê tre démobilisé.

[00:36:59:13]	  Pour moi, la guerre est enfin finie.

[00:37:02:03]	  - Asif, je te présente Jeet Kumar,

[00:37:04:18]	  mon vieil ami de Lahore.

[00:37:07:09]	  Aalia, tu te rends compte?

[00:37:09:18]	  Asif travaille avec Jinnah maintenant.

[00:37:11:18]	  - Mohammad Ali Jinnah?

[00:37:13:06]	  - Seulement comme chauffeur et assistant.

[00:37:14:25]	  Mais... j'ai décidé que je ferais tout pour le servir.

[00:37:17:05]	  - Asif, dis à  M. Jinnah

[00:37:19:25]	  que beaucoup de musulmans aussi se sont battus pour l'Inde.

[00:37:22:20]	  On ne souhaite pas une partition.

[00:37:25:20]	  - Mais Jinnah est un visionnaire, monsieur.

[00:37:27:10]	  

[00:37:28:13]	  - Pour moi, c'est quelqu'un qui sè me la pagaille.

[00:37:30:20]	  - C'est le seul qui parle en notre nom.

[00:37:32:23]	

[00:37:34:09]	 (musique douce)

[00:37:34:25]	  

[00:37:37:20]	

[00:37:39:22]	  

[00:37:42:07]	 - Monsieur Jinnah! Une photo, s'il vous plaî t.

[00:37:46:05]	  Une poignée de main!

[00:37:47:18]	  -  Porte-parole d'un trè s grand   nombre de mahométans indiens

[00:37:49:16]	     et dirigeant de la Ligue   musulmane,

[00:37:51:29]	    Muhammad Ali Jinnah.

[00:37:53:23]	    S'opposant au parti du congrè s

[00:37:55:20]	     qui, lui, demande   l'indépendance de l'Inde...

[00:37:57:13]	  (langue étrangè re)

[00:37:59:25]	    Il souhaite que   la Grande-Bretagne crée

[00:38:02:11]	    un EÉ tat séparé et indépendant

[00:38:04:19]	    qui réunirait les provinces   à  majorité musulmanes.

[00:38:06:14]	

[00:38:07:14]	 - Nous aussi, nous regardons vers l'avenir.

[00:38:08:22]	  

[00:38:11:10]	  Je l'ai appris en visitant

[00:38:13:15]	  les vieux clochers de Cambridge.

[00:38:15:09]	  - C'est vrai. Un paradis pour les historiens.

[00:38:17:05]	  - Cambridge crée aussi des visionnaires.

[00:38:20:19]	  - Comme votre vieil ami, M. Nehru.

[00:38:22:24]	  - Peu aprè s l'époque de M. Nehru, en 1933,

[00:38:25:10]	  un groupe d'étudiants de Cambridge

[00:38:28:13]	  a eu une idée magnifique et trè s originale.

[00:38:31:04]	  - Ah, oui? Laquelle?

[00:38:33:26]	  - Le Pakistan.

[00:38:35:06]	  Le pays des purs.

[00:38:37:03]	  Les musulmans ne veulent pas souffrir de discrimination

[00:38:39:05]	  

[00:38:40:26]	  comme les Noirs des EÉ tats-Unis d'Amérique.

[00:38:43:08]	  - Je vous assure que les musulmans ne serons pas

[00:38:45:08]	  traités comme des citoyens de seconde zone.

[00:38:47:05]	  - Mais nous représentons un quart de la population.

[00:38:48:23]	  Comment nous le garantissez-vous?

[00:38:50:16]	  - Si vous négociez avec les autres dirigeants,

[00:38:52:04]	  vous obtiendrez une protection constitutionnelle

[00:38:54:11]	  pour les musulmans.

[00:38:56:00]	  - Ce sont les autres dirigeants

[00:38:58:00]	  qui refusent de négocier avec moi.

[00:38:59:26]	  J'ai déjà  la solution.

[00:39:02:06]	  La création d'un EÉ tat musulman, le Pakistan.

[00:39:04:26]	

[00:39:08:11]	  

[00:39:12:19]	 - Vous imaginez vraiment l'Inde

[00:39:16:08]	  divisée en deux parties?

[00:39:18:06]	  - Parfois, la chirurgie peut sauver le patient.

[00:39:20:06]	

[00:39:21:04]	 - Et ouù  proposez-vous de pratiquer l'incision?

[00:39:23:22]	  

[00:39:25:01]	  - Le Pakistan comprendrait les provinces

[00:39:28:06]	  et les EÉ tats à  majorité musulmane.

[00:39:29:20]	  - Et que fait-on des provinces

[00:39:31:15]	  qui ont autant de musulmans que d'hindous?

[00:39:33:00]	  Le Pendjab? Le Bengale? Que deviendront-elles?

[00:39:34:16]	  - Elles feront partie du Pakistan.

[00:39:36:21]	  Les idéaux de l'islam

[00:39:38:05]	  nous ont appris la démocratie et la justice.

[00:39:40:15]	  Chaque citoyen hindou et sikh pourra pratiquer sa religion

[00:39:43:04]	  et voter pour qui il a envie.

[00:39:46:11]	  Mais au moins, nous, les musulmans,

[00:39:48:11]	  nous seront protégés, car nous serons majoritaires.

[00:39:50:23]	  Peut-ê tre bien qu'à  une époque, je pensais naiï vement

[00:39:53:18]	  que nos intérê ts pourraient ê tre garantis

[00:39:57:08]	  dans une Inde unie.

[00:39:59:14]	  Mais c'était il y a fort longtemps.

[00:40:01:24]	  Nehru et Gandhi n'ont fait montre que de mépris

[00:40:04:15]	  pour moi et mes opinions.

[00:40:06:24]	  Comment leur faire confiance

[00:40:08:16]	  afin qu'ils respectent les musulmans?

[00:40:09:28]	

[00:40:11:13]	 - Regardez cette branche de mon arbre généalogique.

[00:40:14:14]	  Elle s'est éteinte faute de nouvelles pousses.

[00:40:17:08]	  C'est mon oncle Nicolas.

[00:40:20:24]	  Il était tsar de Russie.

[00:40:23:05]	  Lui, toute sa famille et ses serviteurs

[00:40:25:08]	  ont été passés à  la baiï onnette et brû lés vifs

[00:40:27:16]	  pour que l'utopie d'un homme puisse voir le jour.

[00:40:30:19]	  Les nouvelles nations naissent rarement dans la paix.

[00:40:33:24]	  - Mais forcer les hindous et les musulmans à  ê tre unis

[00:40:36:04]	  dans un EÉ tat inégal déclencherait justement

[00:40:39:15]	  la boucherie que vous voulez éviter.

[00:40:41:16]	  - En étant unis,

[00:40:43:18]	  vous représentez 20% de la population mondiale.

[00:40:45:25]	  L'Inde deviendrait

[00:40:49:10]	  la plus grande puissance de toute l'Asie.

[00:40:50:29]	  - L'Inde n'a jamais été une vraie nation.

[00:40:53:09]	  Elle donne l'impression de l'ê tre sur la carte.

[00:40:56:05]	  Les Britanniques ont divisé l'Irlande

[00:40:58:26]	  pour maintenir la paix.

[00:41:00:18]	  Ils divisent la Palestine.

[00:41:02:20]	  

[00:41:03:08]	  Ils doivent faire pareil avec l'Inde.

[00:41:05:10]	  

[00:41:06:10]	  - Je l'ai entendu de mes propres oreilles.

[00:41:08:25]	  Jinnah l'a bien dit.

[00:41:10:28]	  Il divisera l'Inde en deux parties.

[00:41:12:08]	  - Il va nous donner le Pakistan.

[00:41:14:00]	  

[00:41:15:03]	  - Non! Non! C'est impossible.

[00:41:16:29]	  - Pourquoi impossible? - Gandhiji a dit:

[00:41:19:04]	  Jamais tant qu'il est vivant. Il ne mentirait pas.

[00:41:20:26]	

[00:41:21:21]	 (cris pour le Pakistan)

[00:41:23:10]	  

[00:41:25:06]	  - Vous ê tes fous! Vous arrê tez, oui?

[00:41:29:00]	  (cris indistincts)

[00:41:31:08]	  CÇ a suffit, mes frè res! CÇ a suffit!

[00:41:33:24]	  Les Britanniques gouvernent l'Inde depuis 300 ans,

[00:41:36:10]	  en semant la discorde entre nos communautés comme maintenant!

[00:41:39:21]	  - Guptaji... - Non, Mohsin!

[00:41:42:16]	  Il ne faut pas que ce poison nous contamine.

[00:41:44:03]	  - Le Pakistan-- - Taisez-vous!

[00:41:47:18]	  Je vous rappelle que les discussions

[00:41:49:15]	  qui se tiennent là -haut

[00:41:51:19]	  ne vous regardent absolument pas!

[00:41:53:13]	  Il est 17 h 45!

[00:41:55:08]	  Le dî ner va ê tre servi en retard.

[00:41:57:00]	  Tous au travail! Allez, dépê chez-vous!

[00:41:59:16]	

[00:42:01:18]	  

